Reference, Value, Footprint, Datasheet, Frequency
SW2,SSSS213202,mylib:SSSS213202,
VR1,CG0603MLC-05E,Capacitors_SMD:C_0603,
VR2,CG0603MLC-05E,Capacitors_SMD:C_0603,
R27,47R,Resistors_SMD:R_0603,
R65,1k5,Resistors_SMD:R_1206,
R64,390R,Resistors_SMD:R_0603,
J4,LASER P,mylib:S3B-XH-SM4-TB,
C1,10u,Capacitors_SMD:C_0805,
C4,10u,Capacitors_SMD:C_0805,
C8,10u,Capacitors_SMD:C_0805,
C7,10u,Capacitors_SMD:C_0805,
R26,470R,Resistors_SMD:R_0603,
D3,3.3V,Diodes_SMD:D_0603,
C27,0u1,Capacitors_SMD:C_0805,
R31,4k7,Resistors_SMD:R_0603,
R30,4k7,Resistors_SMD:R_0603,
U5,ADUM1250,mylib:ADUM1250,
C18,0u1,Capacitors_SMD:C_0805,
R54,4k7,Resistors_SMD:R_0603,
R53,4k7,Resistors_SMD:R_0603,
U11,ADUM1250,mylib:ADUM1250,
C30,0u1,Capacitors_SMD:C_0805,
U19,MCP3425,mylib:MCP3425,
C33,0u1,Capacitors_SMD:C_0805,
C31,0u1,Capacitors_SMD:C_0805,
C39,0u1,Capacitors_SMD:C_0805,
R63,4k7,Resistors_SMD:R_0603,
R62,4k7,Resistors_SMD:R_0603,
U16,TLP2355,mylib:TLP2355,
R59,220R,Resistors_SMD:R_1206,
U15,TLP2355,mylib:TLP2355,
R58,220R,Resistors_SMD:R_1206,
U17,TLP2355,mylib:TLP2355,
R60,220R,Resistors_SMD:R_1206,
U13,TLP2355,mylib:TLP2355,
R56,220R,Resistors_SMD:R_1206,
U12,TLP2355,mylib:TLP2355,
R55,220R,Resistors_SMD:R_1206,
U14,TLP2355,mylib:TLP2355,
R57,220R,Resistors_SMD:R_1206,
R51,220R,Resistors_SMD:R_1206,
J5,X LIMIT1,mylib:S3B-XH-SM4-TB,
J7,X LIMIT2,mylib:S3B-XH-SM4-TB,
J8,Y LIMIT1,mylib:S3B-XH-SM4-TB,
J9,Y LIMIT2,mylib:S3B-XH-SM4-TB,
U7,TLP2355,mylib:TLP2355,
U8,TLP2355,mylib:TLP2355,
U9,TLP2355,mylib:TLP2355,
U10,TLP2355,mylib:TLP2355,
R10,1k,Resistors_SMD:R_1206,
R15,1k,Resistors_SMD:R_1206,
R16,1k,Resistors_SMD:R_1206,
R17,1k,Resistors_SMD:R_1206,
R2,4k7,Resistors_SMD:R_0603,
D5,X1 Stop,Diodes_SMD:D_0603,
D6,X2 Stop,Diodes_SMD:D_0603,
R3,4k7,Resistors_SMD:R_0603,
R5,4k7,Resistors_SMD:R_0603,
R7,4k7,Resistors_SMD:R_0603,
D7,Y1 Stop,Diodes_SMD:D_0603,
D8,Y2 Stop,Diodes_SMD:D_0603,
R18,1k,Resistors_SMD:R_0603,
R19,1k,Resistors_SMD:R_0603,
R20,1k,Resistors_SMD:R_0603,
R23,1k,Resistors_SMD:R_0603,
C25,0u1,Capacitors_SMD:C_0805,
C26,0u1,Capacitors_SMD:C_0805,
C28,0u1,Capacitors_SMD:C_0805,
C48,0u1,Capacitors_SMD:C_0805,
R8,4k7,Resistors_SMD:R_0603,
U18,TLP2355,mylib:TLP2355,
R24,1k,Resistors_SMD:R_0603,
R9,1k,Resistors_SMD:R_1206,
J10,D SWITCH,mylib:S3B-XH-SM4-TB,
C49,0u1,Capacitors_SMD:C_0805,
J6,WATER FLOW,mylib:S3B-XH-SM4-TB,
U22,TLP2355,mylib:TLP2355,
R32,1k,Resistors_SMD:R_0603,
C55,0u1,Capacitors_SMD:C_0805,
J17,Y VREF,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
C51,0u1,Capacitors_SMD:C_0805,
C56,0u1,Capacitors_SMD:C_0805,
C52,100u,Capacitors_SMD:CP_Elec_6.3x7.7,
R37,0R1,Resistors_SMD:R_1206,
R40,0R1,Resistors_SMD:R_1206,
C50,0u22,Capacitors_SMD:C_0603,
R35,0R,Resistors_SMD:R_0603,
C53,0u1,Capacitors_SMD:C_0805,
R33,10k,Resistors_SMD:R_0603,
C54,0u22,Capacitors_SMD:C_0603,
R34,100k,Resistors_SMD:R_0603,
J11,LASER,mylib:S3B-XH-SM4-TB,
R6,220R,Resistors_SMD:R_1206,
U6,TLP2355,mylib:TLP2355,
U23,TPL0401A,TO_SOT_Packages_SMD:SOT-23-6,
U24,TPL0401B,TO_SOT_Packages_SMD:SOT-23-6,
C29,0u1,Capacitors_SMD:C_0805,
C24,0u1,Capacitors_SMD:C_0805,
L1,BNX024H01,mylib:BNX024H01,
C5,100u,Capacitors_SMD:CP_Elec_6.3x7.7,
C23,0.1u,Capacitors_SMD:C_0805,
TP1,CP-10,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
TP2,CP-10,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
TP3,CP-10,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
TP4,CP-10,Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm,
R41,0,Resistors_SMD:R_1206,
J3,POWER IN,mylib:VH-4,
U1,LD1117S,mylib:LD1117S33TR,
U4,LD1117S,mylib:LD1117S33TR,
U2,LD1117S,mylib:LD1117S33TR,
U20,A4982SLPTR,mylib:A4982SLPTR,
U25,A4982SLPTR,mylib:A4982SLPTR,
U21,A4982SLPTR,mylib:A4982SLPTR,
